Quibit
14.4
14.8
15.3
24.7
15.1
18.8
21
20
13.7
6.84
11.1
7.93
15.5
8.74
6.55
8.75
16.3
25.8
23
20.8
42.6
26.8
17
29
8.99
22.1
0.316
23.6
21.1
22.8
17.4
15.6
28
26.1
2.86
23.3
26
26.6
15.9
21.4
15
20.8
27.1
29.5
26.8
26.2
21.3
48.2
29
32
17.5
26.1
25.8
17.9
19
15.1
30.9
22.8
15.2
22.6
13.3
29.5
19
25.3
50
20.9
13.7
17.8
16.9
11.8
12
19.7
38.1
21.8
44.8
34.8
24.7
46.9
26
19.1
12.1
7.66
17
25.6
13.5
21.4
13.7
17.9
19.9
22.2
21.9
15.5
19.2
13
15.2
6.77
6.04
40.7
10.9
9.28
8.24
6.95
7.73
4.35
11.1
6.39
4.81
7.57
4.54
12
19.4
14.7
18.2
21.7
19.5
31.7
20.1
22.5
23.2
11.5
17
34.5
24.3
24.7
23.2
37.4
29.4
34.1
33.8
31.4
11.5
7.76
19.7
17.7
7.62
17.4
40.3
26.5
10.3
12.5
14.6
4.81
15.6
13.2
22.5
36
12.9
23
16
21.2
16.3
14.9
7.23
15.9
12.6
5.89
7.38
13.8
14.3
8.4
3.66
6.49
6.35
14.1
5.72
6.69
7.02
18.5
37.9
38.6
41.9
31.3
31.5
31.4
37.4
44.2
35.8
27.7
27.9
28.5
45.8
24.2
32.3
31.3
29.1
36.1
37.4
27.5
37.9
32.8
17.1
15.8
13.2
16.2
11.5
7.09
16.6
5
14.1
12.6
15.3
18.2
10.7
0.052
14.4
2.06
0
32.2
10.8
9.99
11.4
4.06
7.49
14.2
7.62
0
0.666
11.2
13.4
10.4
8.89
5.15
31.5
11.1
14.7
10
14.6
10.4
34.9
3.54
9.58
35.8
3.33
13.2
5.87
12.3
12.9
16.1
12.1
45.4
39.9
34
19
30.3
27.1
34.6
23.6
33.1
17.8
31
13.6
11.2
26.5
37.4
17.7
38.4
13.5
17
25.2
37.3
36.1
12.8
42.2
27.6
9.25
15.7
35.6
27.5
23.7
27.5
39.3
26.5
16.5
41.5
22.1
8.66
16.5
13.7
5.6
10.4
11.9
12.8
13
31.6
23.8
32.6
31.7
19.5
1.32
2.76
2.26
8.34
7.55
3.32
4
2.09
2.05
1.51
1.11
0.812
22.7
6.83
34.6
29.8
22.3
23.7
25.1
24.9
24.3
6.69
11.3
0.946
2.36
4.02
30.9
22.5
34.4
15
40.1
18.8
40.7
40.2
31.9
17.6
4.56
0.86
4.62
22.7
17.1
7.96
27.2
11.4
11.6
24
26.5
24.1
9.76
3.02
18.7
15.3
12.5
26.1
26
36.5
25.1
13.1
6.13
5.72
16.4
5.7
6.74
9.6
16.8
6.76
12.1
4.2
6.44
36.7
21.3
30.8
5.69
24
25.8
9.27
6.72
22.5
13
17.8
21.9
18.7
20
20.5
38.7
15.3
13.9
7.27
7.44
10.6
9.71
16.3
25.8
13.8
6.93
14.4
8.29
8.12
1.4
0.557
1.1
1.6
1.74
0.723
0.556
0.253
0.343
2.78
2.21
4.12
2.33
2.66
1.74
2.19
5.5
9.55
3.4
0.391
0.366
0.551
0.43
2.37
1.08
0.958
2.37
2.22
0.995
1.51
0.858
0.452
0.456
0.372
0.524
6.66
2.5
2.52
1.83
1.06
1.03
1.55
0.708
1.15
1.4
1.84
0.53
4.02
4.53
1.52
3.28
7.31
2.79
5.61
3.4
4.08
7.89
3.99
2.67
0.463
1.43
8.92
7.47
4.4
3.22
4.58
3.71
4.25
13.1
2.17
2.78
1.16
0.652
1.15
0.835
1.04
0.498
1.8
1.4
1.37
9.79
7.46
8.91
0.409
4.81
2.07
0.098
0.304
0.214
0.166
0.349
0.378
0.155
0.843
3.08
0.255
0.791
0.956
1.01
0.206
4.64
4.46
3.04
1.46
1.16
1.58
1.09
0.825
0.814
1.04
2
7.23
2.02
8.38
3.72
5.36
3.95
15.4
9.04
3.82
4.98
1.36
1.78
3.58
3.02
1.68
1.13
1.39
1.33
0.363
1.61
6.14
1.34
0.989
1.45
0.849
3.41
2.42
1.76
1.19
1.07
2.88
0.446
0.54
0.417
0.472
0.417
0.965
1.31
2.76
0.775
0.406
5.46
16.2
9.98
4.65
5.75
5.21
3.7
9.58
5.63
28.4
9.52
8.14
17.6
16.2
8.81
11.9
9.95
10.8
5.08
8.31
3.26
