"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-01","1990","01","01","","-24.2","","-33.0","","-28.6","","46.6","","0.0","","0.0","","0.2","","0.2","","27","","32","","37","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-02","1990","01","02","","-25.1","","-29.4","","-27.3","","45.3","","0.0","","0.0","","0.4","","0.4","","28","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-03","1990","01","03","","-28.6","","-37.9","","-33.3","","51.3","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-04","1990","01","04","","-36.2","","-38.8","","-37.5","","55.5","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-05","1990","01","05","","-24.0","","-36.4","","-30.2","","48.2","","0.0","","0.0","","0.0","T","0.0","T","28","","26","","43","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-06","1990","01","06","","-24.0","","-30.8","","-27.4","","45.4","","0.0","","0.0","","0.0","T","0.0","T","28","","25","","31","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-07","1990","01","07","","-24.0","","-29.9","","-27.0","","45.0","","0.0","","0.0","","0.2","","0.2","","28","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-08","1990","01","08","","-26.3","","-34.8","","-30.6","","48.6","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-09","1990","01","09","","-26.1","","-36.3","","-31.2","","49.2","","0.0","","0.0","","0.8","","0.8","","27","","10","","37","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-10","1990","01","10","","-20.1","","-26.8","","-23.5","","41.5","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-11","1990","01","11","","-20.0","","-30.5","","-25.3","","43.3","","0.0","","0.0","","2.2","","2.0","","29","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-12","1990","01","12","","-30.2","","-36.4","","-33.3","","51.3","","0.0","","0.0","","0.0","T","0.0","T","29","","25","","35","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-13","1990","01","13","","-29.6","","-38.0","","-33.8","","51.8","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-14","1990","01","14","","-24.7","","-30.0","","-27.4","","45.4","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-15","1990","01","15","","-24.1","","-27.7","","-25.9","","43.9","","0.0","","0.0","","0.0","T","0.0","T","29","","4","","46","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-16","1990","01","16","","-26.9","","-36.3","","-31.6","","49.6","","0.0","","0.0","","0.0","T","0.0","T","29","","31","","31","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-17","1990","01","17","","-32.8","","-37.2","","-35.0","","53.0","","0.0","","0.0","","0.0","T","0.0","T","29","","27","","37","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-18","1990","01","18","","-34.0","","-39.4","","-36.7","","54.7","","0.0","","0.0","","0.0","T","0.0","T","29","","33","","37","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-19","1990","01","19","","-33.8","","-38.0","","-35.9","","53.9","","0.0","","0.0","","0.0","T","0.0","T","29","","29","","39","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-20","1990","01","20","","-32.2","","-40.5","","-36.4","","54.4","","0.0","","0.0","","0.0","T","0.0","T","29","","14","","37","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-21","1990","01","21","","-24.5","","-36.8","","-30.7","","48.7","","0.0","","0.0","","1.2","","1.2","","30","","16","","46","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-22","1990","01","22","","-33.9","","-37.3","","-35.6","","53.6","","0.0","","0.0","","0.0","T","0.0","T","30","","30","","43","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-23","1990","01","23","","-34.1","","-37.4","","-35.8","","53.8","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-24","1990","01","24","","-32.5","","-37.3","","-34.9","","52.9","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-25","1990","01","25","","-37.2","","-40.4","","-38.8","","56.8","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-26","1990","01","26","","-38.1","","-40.5","","-39.3","","57.3","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-27","1990","01","27","","-38.8","","-44.6","","-41.7","","59.7","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-28","1990","01","28","","-42.0","","-46.2","","-44.1","","62.1","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-29","1990","01","29","","-29.6","","-42.9","","-36.3","","54.3","","0.0","","0.0","","0.0","T","0.0","T","29","","35","","72","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-30","1990","01","30","","-30.5","","-36.6","","-33.6","","51.6","","0.0","","0.0","","0.0","T","0.0","T","29","","2","","57","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-01-31","1990","01","31","","-35.2","","-39.8","","-37.5","","55.5","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-01","1990","02","01","","-38.1","","-41.7","","-39.9","","57.9","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-02","1990","02","02","","-39.6","","-41.7","","-40.7","","58.7","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-03","1990","02","03","","-38.0","","-43.5","","-40.8","","58.8","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-04","1990","02","04","","-38.1","","-42.0","","-40.1","","58.1","","0.0","","0.0","","0.2","","0.2","","24","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-05","1990","02","05","","-37.2","","-42.5","","-39.9","","57.9","","0.0","","0.0","","0.0","T","0.0","T","24","","26","","46","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-06","1990","02","06","","-35.5","","-38.2","","-36.9","","54.9","","0.0","","0.0","","0.0","T","0.0","T","24","","25","","43","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-07","1990","02","07","","-37.7","","-41.0","","-39.4","","57.4","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-08","1990","02","08","","-38.3","","-43.4","","-40.9","","58.9","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-09","1990","02","09","","-36.4","","-43.1","","-39.8","","57.8","","0.0","","0.0","","0.0","T","0.0","T","24","","25","","44","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-10","1990","02","10","","-33.6","","-37.3","","-35.5","","53.5","","0.0","","0.0","","0.0","T","0.0","T","26","","25","","46","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-11","1990","02","11","","-34.4","","-41.6","","-38.0","","56.0","","0.0","","0.0","","0.0","T","0.0","T","26","","25","","48","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-12","1990","02","12","","-34.9","","-42.2","","-38.6","","56.6","","0.0","","0.0","","0.0","T","0.0","T","26","","26","","46","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-13","1990","02","13","","-39.2","","-42.9","","-41.1","","59.1","","0.0","","0.0","","0.0","T","0.0","T","26","","31","","54","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-14","1990","02","14","","-34.6","","-39.6","","-37.1","","55.1","","0.0","","0.0","","0.2","","0.2","","26","","35","","48","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-15","1990","02","15","","-35.8","","-41.0","","-38.4","","56.4","","0.0","","0.0","","0.0","T","0.0","T","26","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-16","1990","02","16","","-41.0","","-46.3","","-43.7","","61.7","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-17","1990","02","17","","-39.5","","-46.5","","-43.0","","61.0","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-18","1990","02","18","","-40.1","","-42.3","","-41.2","","59.2","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-19","1990","02","19","","-38.6","","-43.6","","-41.1","","59.1","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-20","1990","02","20","","-40.0","","-44.3","","-42.2","","60.2","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-21","1990","02","21","","-23.6","","-43.0","","-33.3","","51.3","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-22","1990","02","22","","-38.2","","-42.5","","-40.4","","58.4","","0.0","","0.0","","0.0","T","0.0","T","30","","27","","33","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-23","1990","02","23","","-37.1","","-39.9","","-38.5","","56.5","","0.0","","0.0","","0.0","T","0.0","T","30","","27","","41","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-24","1990","02","24","","-35.4","","-39.3","","-37.4","","55.4","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-25","1990","02","25","","-30.0","","-39.3","","-34.7","","52.7","","0.0","","0.0","","0.6","","0.6","","30","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-26","1990","02","26","","-33.5","","-38.2","","-35.9","","53.9","","0.0","","0.0","","0.0","T","0.0","T","31","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-27","1990","02","27","","-22.3","","-38.0","","-30.2","","48.2","","0.0","","0.0","","0.0","T","0.0","T","31","","12","","31","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-02-28","1990","02","28","","-13.7","","-25.5","","-19.6","","37.6","","0.0","","0.0","","3.6","","1.0","","31","","33","","70","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-03-01","1990","03","01","","-24.0","","-32.5","","-28.3","","46.3","","0.0","","0.0","","0.0","","0.0","","34","","32","","78","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-03-02","1990","03","02","","-31.8","","-36.5","","-34.2","","52.2","","0.0","","0.0","","0.0","T","0.0","T","32","","30","","56","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-03-03","1990","03","03","","-30.4","","-38.1","","-34.3","","52.3","","0.0","","0.0","","0.0","T","0.0","T","26","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-03-04","1990","03","04","","-25.2","","-35.0","","-30.1","","48.1","","0.0","","0.0","","0.0","T","0.0","T","26","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-03-05","1990","03","05","","-12.4","","-25.7","","-19.1","","37.1","","0.0","","0.0","","0.0","T","0.0","T","26","","13","","43","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1990-03-06","1990","03","06","","-13.7","","-22.4","","-18.1","","36.1","","0.0","","0.0","","0.4","","0.0","T","26","","","","<31",""
