Place,Month,Min,Max,Mean
Kugluktuk ,August ,5.832653061,15.95102041,10.91020408
Kugluktuk ,July,6.2525,16.065,11.18
Cambridge Bay ,August ,5.421666667,12.40666667,8.938333333
Cambridge Bay ,July,4.724590164,12.19344262,8.480327869
