"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2025-01-01","2025","01","01","","-29.9","","-32.5","","-31.2","","49.2","","0.0","","0.0","","0.0","","0.0","","21","","31","","36",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2025-01-02","2025","01","02","","-29.5","","-34.8","","-32.2","","50.2","","0.0","","0.0","","0.0","","0.0","","19","","33","","36",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2025-01-03","2025","01","03","","-29.2","","-33.0","","-31.1","","49.1","","0.0","","0.0","","0.0","","0.0","","20","","25","","32",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2025-01-04","2025","01","04","","-30.4","","-35.5","","-33.0","","51.0","","0.0","","0.0","","0.0","T","0.0","T","20","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2025-01-05","2025","01","05","","-32.2","","-36.9","","-34.6","","52.6","","0.0","","0.0","","0.0","T","0.0","T","20","","31","","45",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2025-01-06","2025","01","06","","-30.9","","-36.5","","-33.7","","51.7","","0.0","","0.0","","0.0","T","0.0","T","20","","27","","46",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2025-01-07","2025","01","07","","-27.1","","-35.8","","-31.5","","49.5","","0.0","","0.0","","0.2","","0.2","","20","","8","","48",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2025-01-08","2025","01","08","","-26.4","","-31.3","","-28.9","","46.9","","0.0","","0.0","","0.0","T","0.0","T","20","","3","","61",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2025-01-09","2025","01","09","","-30.4","","-32.4","","-31.4","","49.4","","0.0","","0.0","","0.0","T","0.0","T","20","","1","","53",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2025-01-10","2025","01","10","","","M","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","20","","2","","38",""
