SampleID	ExactSitedew line rd	ExactSitefreshwater river	ExactSiteGrenier lake	ExactSitelong pt creek	ExactSitegravel pit	ExactSite4 mile bay	ExactSitebehind town	ExactSiteother side of heart lake	ExactSitetrail to 4 mile
KBIMP-_007_F6	0	0	0	0	0	0	0	0	1
KBIMP-_007_G11	0	0	0	0	0	0	0	1	0
KBIMP-_007_G12	0	0	0	0	0	0	0	1	0
KBIMP-_007_H1	0	0	0	0	0	0	0	1	0
KBIMP-_007_H2	0	0	0	0	0	0	0	1	0
KBIMP-_007_H4	0	0	0	0	0	0	0	1	0
KBIMP-_007_H11	0	0	0	0	0	0	0	1	0
KBIMP-_008_C4	0	0	0	0	0	0	1	0	0
KBIMP-_008_C5	0	0	0	0	0	0	1	0	0
KBIMP-_008_C6	0	0	0	0	0	0	1	0	0
KBIMP-_008_C7	0	0	0	0	0	0	1	0	0
KBIMP-_008_C8	0	0	0	0	0	0	1	0	0
KBIMP-_008_E4	0	0	0	0	0	0	1	0	0
