"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-01","2022","01","01","","-35.6","","-37.4","","-36.5","","54.5","","0.0","","","M","","M","","M","11","","23","","33",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-02","2022","01","02","","-25.5","","-37.0","","-31.3","","49.3","","0.0","","","M","","M","","M","11","","26","","40",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-03","2022","01","03","","-25.4","","-30.9","","-28.2","","46.2","","0.0","","","M","","M","","M","12","","28","","34",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-04","2022","01","04","","-24.6","","-29.0","","-26.8","","44.8","","0.0","","","M","","M","","M","14","","25","","42",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-05","2022","01","05","","-19.8","","-27.6","","-23.7","","41.7","","0.0","","","M","","M","","M","14","","24","","72",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-06","2022","01","06","","-16.2","","-23.3","","-19.8","","37.8","","0.0","","","M","","M","","M","16","","30","","73",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-07","2022","01","07","","-22.7","","-26.6","","-24.7","","42.7","","0.0","","","M","","M","","M","16","","29","","46",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-08","2022","01","08","","-24.4","","-30.2","","-27.3","","45.3","","0.0","","","M","","M","","M","15","","26","","49",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-09","2022","01","09","","-25.8","","-32.1","","-29.0","","47.0","","0.0","","","M","","M","","M","14","","25","","49",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-10","2022","01","10","","-28.2","","-33.1","","-30.7","","48.7","","0.0","","","M","","M","","M","13","","24","","43",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-11","2022","01","11","","-28.4","","-33.6","","-31.0","","49.0","","0.0","","","M","","M","","M","12","","26","","41",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-12","2022","01","12","","-19.2","","-31.2","","-25.2","","43.2","","0.0","","","M","","M","","M","12","","22","","41",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-13","2022","01","13","","-20.4","","-27.4","","-23.9","","41.9","","0.0","","","M","","M","","M","13","","26","","36",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-14","2022","01","14","","-24.2","","-35.5","","-29.9","","47.9","","0.0","","","M","","M","","M","13","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-15","2022","01","15","","-34.3","","-36.6","","-35.5","","53.5","","0.0","","","M","","M","","M","13","","23","","32",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-16","2022","01","16","","-33.6","","-36.7","","-35.2","","53.2","","0.0","","","M","","M","","M","13","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-17","2022","01","17","","-28.9","","-35.1","","-32.0","","50.0","","0.0","","","M","","M","","M","13","","26","","37",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-18","2022","01","18","","-25.6","","-34.0","","-29.8","","47.8","","0.0","","","M","","M","","M","13","","26","","35",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-19","2022","01","19","","-21.1","","-28.8","","-25.0","","43.0","","0.0","","","M","","M","","M","13","","22","","45",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-20","2022","01","20","","-24.5","","-32.1","","-28.3","","46.3","","0.0","","","M","","M","","M","14","","28","","52",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-21","2022","01","21","","-28.5","","-32.5","","-30.5","","48.5","","0.0","","","M","","M","","M","13","","25","","57",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-22","2022","01","22","","-30.3","","-35.7","","-33.0","","51.0","","0.0","","","M","","M","","M","13","","26","","38",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-23","2022","01","23","","-32.8","","-36.7","","-34.8","","52.8","","0.0","","","M","","M","","M","13","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-24","2022","01","24","","-15.9","","-37.4","","-26.7","","44.7","","0.0","","","M","","M","","M","13","","22","","32",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-25","2022","01","25","","-15.4","","-25.4","","-20.4","","38.4","","0.0","","","M","","M","","M","13","","22","","37",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-26","2022","01","26","","-15.4","","-30.5","","-23.0","","41.0","","0.0","","","M","","M","","M","16","","30","","45",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-27","2022","01","27","","-18.0","","-30.5","","-24.3","","42.3","","0.0","","","M","","M","","M","17","","28","","46",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-28","2022","01","28","","-28.4","","-34.7","","-31.6","","49.6","","0.0","","","M","","M","","M","17","","24","","46",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-29","2022","01","29","","-26.2","","-31.0","","-28.6","","46.6","","0.0","","","M","","M","","M","17","","24","","48",""
"-115.14","67.82","KUGLUKTUK A","2300903","2022-01-30","2022","01","30","","-22.9","","-28.4","","-25.7","","43.7","","0.0","","","M","","M","","M","17","","24","","51",""
