"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-01","2000","01","01","","-19.9","","-22.9","","-21.4","","39.4","","0.0","","0.0","","0.7","","0.4","","37","","26","E","52","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-02","2000","01","02","","-16.0","","-20.7","","-18.4","","36.4","","0.0","","0.0","","1.4","","0.0","T","30","","27","E","56","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-03","2000","01","03","","-17.2","","-25.2","","-21.2","","39.2","","0.0","","0.0","","0.8","","0.0","T","28","","27","E","43","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-04","2000","01","04","","-20.1","","-27.6","","-23.9","","41.9","","0.0","","0.0","","0.6","","0.0","T","25","","24","E","39","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-05","2000","01","05","","-17.6","","-20.6","","-19.1","","37.1","","0.0","","0.0","","1.4","","0.4","","24","","25","E","37","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-06","2000","01","06","","-17.4","","-21.4","","-19.4","","37.4","","0.0","","0.0","","1.4","","0.6","","25","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-07","2000","01","07","","-19.2","","-29.6","","-24.4","","42.4","","0.0","","0.0","","0.0","T","0.0","T","25","","24","E","37","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-08","2000","01","08","","-27.9","","-32.3","","-30.1","","48.1","","0.0","","0.0","","0.0","T","0.0","T","25","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-09","2000","01","09","","-30.4","","-36.9","","-33.7","","51.7","","0.0","","0.0","","0.0","T","0.0","T","25","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-10","2000","01","10","","-30.0","","-37.6","","-33.8","","51.8","","0.0","","0.0","","0.2","","0.0","T","24","","23","E","32","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-11","2000","01","11","","-27.1","","-33.8","","-30.5","","48.5","","0.0","","0.0","","0.8","","0.2","","24","","23","E","39","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-12","2000","01","12","","-24.1","","-36.8","","-30.5","","48.5","","0.0","","0.0","","0.2","","0.0","T","22","","24","E","35","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-13","2000","01","13","","-20.6","","-33.0","","-26.8","","44.8","","0.0","","0.0","","0.0","T","0.0","T","21","","26","E","41","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-14","2000","01","14","","-23.2","","-33.0","","-28.1","","46.1","","0.0","","0.0","","0.0","","0.0","","20","","24","E","37","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-15","2000","01","15","","-21.4","","-26.0","","-23.7","","41.7","","0.0","","0.0","","0.0","T","0.0","T","20","","22","E","44","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-16","2000","01","16","","-19.9","","-26.7","","-23.3","","41.3","","0.0","","0.0","","0.0","T","0.0","T","20","","25","E","41","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-17","2000","01","17","","-23.3","","-31.0","","-27.2","","45.2","","0.0","","0.0","","0.0","T","0.0","T","20","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-18","2000","01","18","","-28.9","","-34.8","","-31.9","","49.9","","0.0","","0.0","","0.0","T","0.0","T","20","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-19","2000","01","19","","-29.4","","-36.3","","-32.9","","50.9","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-20","2000","01","20","","-27.8","","-36.9","","-32.4","","50.4","","0.0","","0.0","","0.6","","0.0","T","20","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-21","2000","01","21","","-29.9","","-35.6","","-32.8","","50.8","","0.0","","0.0","","0.6","","0.2","","20","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-22","2000","01","22","","-15.7","","-35.8","","-25.8","","43.8","","0.0","","0.0","","4.2","","1.4","","20","","21","E","41","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-23","2000","01","23","","-15.5","","-34.5","","-25.0","","43.0","","0.0","","0.0","","2.2","","0.3","","24","","33","E","54","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-24","2000","01","24","","-19.7","","-28.9","","-24.3","","42.3","","0.0","","0.0","","6.5","","1.9","","26","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-25","2000","01","25","","-6.6","","-24.2","","-15.4","","33.4","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-26","2000","01","26","","-5.6","","-15.9","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","30","","25","E","57","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-27","2000","01","27","","-8.7","","-23.0","","-15.9","","33.9","","0.0","","0.0","","0.0","","0.0","","28","","27","E","43","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-28","2000","01","28","","-14.1","","-20.6","","-17.4","","35.4","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-29","2000","01","29","","-11.9","","-21.9","","-16.9","","34.9","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-30","2000","01","30","","-16.9","","-24.1","","-20.5","","38.5","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-01-31","2000","01","31","","-7.2","","-21.2","","-14.2","","32.2","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-01","2000","02","01","","-10.7","","-21.4","","-16.1","","34.1","","0.0","","0.0","","0.0","T","0.0","T","26","","25","E","48","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-02","2000","02","02","","-16.1","","-21.7","","-18.9","","36.9","","0.0","","0.0","","1.0","","0.3","","26","","25","E","46","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-03","2000","02","03","","-4.2","","-20.5","","-12.4","","30.4","","0.0","","0.0","","0.0","T","0.0","T","27","","25","E","54","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-04","2000","02","04","","-17.1","","-23.1","","-20.1","","38.1","","0.0","","0.0","","0.0","","0.0","","27","","32","E","74","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-05","2000","02","05","","-12.2","","-29.1","","-20.7","","38.7","","0.0","","0.0","","2.0","","0.6","","28","","36","E","33","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-06","2000","02","06","","-17.7","","-29.4","","-23.6","","41.6","","0.0","","0.0","","0.0","","0.0","","27","","26","E","32","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-07","2000","02","07","","-19.4","","-29.0","","-24.2","","42.2","","0.0","","0.0","","1.0","","0.0","T","28","","30","E","33","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-08","2000","02","08","","-22.3","","-28.7","","-25.5","","43.5","","0.0","","0.0","","0.0","T","0.0","T","29","","27","E","54","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-09","2000","02","09","","-18.6","","-27.7","","-23.2","","41.2","","0.0","","0.0","","1.2","","0.6","","29","","32","E","59","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-10","2000","02","10","","-17.2","","-23.0","","-20.1","","38.1","","0.0","","0.0","","0.0","T","0.0","T","30","","29","E","33","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-11","2000","02","11","","-18.3","","-26.8","","-22.6","","40.6","","0.0","","0.0","","1.2","","0.4","","29","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-12","2000","02","12","","-18.1","","-26.4","","-22.3","","40.3","","0.0","","0.0","","0.4","","0.0","T","29","","23","E","46","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-13","2000","02","13","","-17.0","","-30.0","","-23.5","","41.5","","0.0","","0.0","","2.2","","0.2","","30","","32","E","54","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-14","2000","02","14","","-28.7","","-33.6","","-31.2","","49.2","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-15","2000","02","15","","-26.8","","-34.5","","-30.7","","48.7","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-16","2000","02","16","","-23.0","","-32.3","","-27.7","","45.7","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-17","2000","02","17","","-30.4","","-35.9","","-33.2","","51.2","","0.0","","0.0","","0.0","T","0.0","T","26","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-18","2000","02","18","","-32.3","","-40.3","","-36.3","","54.3","","0.0","","0.0","","1.0","","0.6","","25","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-19","2000","02","19","","-39.0","","-41.6","","-40.3","","58.3","","0.0","","0.0","","0.0","T","0.0","T","26","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-20","2000","02","20","","-20.2","","-39.4","","-29.8","","47.8","","0.0","","0.0","","2.4","","1.0","","25","","8","E","52","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-21","2000","02","21","","-18.4","","-30.6","","-24.5","","42.5","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-22","2000","02","22","","-29.3","","-34.0","","-31.7","","49.7","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-23","2000","02","23","","-27.1","","-31.2","","-29.2","","47.2","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-24","2000","02","24","","-20.2","","-27.2","","-23.7","","41.7","","0.0","","0.0","","0.0","T","0.0","T","26","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-25","2000","02","25","","-19.0","","-21.5","","-20.3","","38.3","","0.0","","0.0","","1.2","","0.2","","26","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-26","2000","02","26","","-19.7","","-24.0","","-21.9","","39.9","","0.0","","0.0","","4.2","","1.2","","28","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-27","2000","02","27","","-20.2","","-36.2","","-28.2","","46.2","","0.0","","0.0","","0.0","T","0.0","T","31","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-28","2000","02","28","","-25.1","","-40.0","","-32.6","","50.6","","0.0","","0.0","","2.2","","0.6","","30","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-02-29","2000","02","29","","-28.2","","-36.6","","-32.4","","50.4","","0.0","","0.0","","0.2","","0.0","T","32","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-03-01","2000","03","01","","-20.8","","-33.6","","-27.2","","45.2","","0.0","","0.0","","1.6","","0.2","","32","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-03-02","2000","03","02","","-20.2","","-28.3","","-24.3","","42.3","","0.0","","0.0","","1.7","","0.5","","33","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-03-03","2000","03","03","","-27.3","","-36.0","","-31.7","","49.7","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-03-04","2000","03","04","","-30.6","","-38.0","","-34.3","","52.3","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-03-05","2000","03","05","","-24.2","","-33.7","","-29.0","","47.0","","0.0","","0.0","","1.0","","0.3","","33","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","2000-03-06","2000","03","06","","-28.7","","-37.0","","-32.9","","50.9","","0.0","","0.0","","0.4","","0.0","T","34","","34","E","37","E"
"-115.14","67.82","KUGLUKTUK A","2300902","2000-03-07","2000","03","07","","-29.1","","-38.7","","-33.9","","51.9","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
