"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-01","2020","01","01","","-21.4","","-29.4","","-25.4","","43.4","","0.0","","0.0","","0.2","","0.0","T","16","","23","","32",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-02","2020","01","02","","-19.3","","-27.7","","-23.5","","41.5","","0.0","","0.0","","4.0","","0.4","","16","","4","","39",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-03","2020","01","03","","-27.8","","-30.2","","-29.0","","47.0","","0.0","","0.0","","0.2","","0.0","T","18","","7","","37",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-04","2020","01","04","","-27.5","","-31.7","","-29.6","","47.6","","0.0","","0.0","","0.0","T","0.0","T","18","","3","","32",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-05","2020","01","05","","-27.1","","-32.5","","-29.8","","47.8","","0.0","","0.0","","0.0","T","0.0","T","18","","","","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-06","2020","01","06","","-27.4","","-33.1","","-30.3","","48.3","","0.0","","0.0","","0.0","T","0.0","T","17","","24","","41",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-07","2020","01","07","","-25.4","","-29.9","","-27.7","","45.7","","0.0","","0.0","","0.6","","0.0","T","16","","23","","45",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-08","2020","01","08","","-25.9","","-31.0","","-28.5","","46.5","","0.0","","0.0","","0.6","","0.0","T","16","","24","","37",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-09","2020","01","09","","-27.6","","-32.1","","-29.9","","47.9","","0.0","","0.0","","0.2","","0.0","T","16","","23","","50",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-10","2020","01","10","","-27.4","","-36.2","","-31.8","","49.8","","0.0","","0.0","","0.6","","0.0","T","15","","23","","54",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-11","2020","01","11","","-24.9","","-36.9","","-30.9","","48.9","","0.0","","0.0","","0.4","","0.0","T","15","","29","","39",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-12","2020","01","12","","-25.9","","-31.7","","-28.8","","46.8","","0.0","","0.0","","0.6","","0.0","T","17","","30","","45",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-13","2020","01","13","","-25.9","","-30.9","","-28.4","","46.4","","0.0","","0.0","","0.0","T","0.0","T","17","","26","","41",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-14","2020","01","14","","-23.3","","-27.2","","-25.3","","43.3","","0.0","","0.0","","0.0","T","0.0","T","17","","22","","42",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-15","2020","01","15","","-18.4","","-25.6","","-22.0","","40.0","","0.0","","0.0","","0.6","","0.0","T","16","","23","","54",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-16","2020","01","16","","-16.2","","-25.6","","-20.9","","38.9","","0.0","","0.0","","1.2","","0.0","T","16","","26","","48",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-17","2020","01","17","","-24.0","","-29.1","","-26.6","","44.6","","0.0","","0.0","","0.2","","0.0","T","15","","23","","46",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-18","2020","01","18","","-18.0","","-25.3","","-21.7","","39.7","","0.0","","0.0","","0.4","","0.0","T","15","","22","","68",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-19","2020","01","19","","-19.8","","-27.2","","-23.5","","41.5","","0.0","","0.0","","0.0","T","0.0","T","15","","23","","48",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-20","2020","01","20","","-20.9","","-27.8","","-24.4","","42.4","","0.0","","0.0","","2.2","","0.4","","17","E","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-21","2020","01","21","","-23.5","","-26.9","","-25.2","","43.2","","0.0","","0.0","","0.0","T","0.0","T","17","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-22","2020","01","22","","-18.4","","-27.5","","-23.0","","41.0","","0.0","","0.0","","4.0","","0.8","","16","","","","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-23","2020","01","23","","-17.9","","-23.5","","-20.7","","38.7","","0.0","","0.0","","2.6","","0.5","","21","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-24","2020","01","24","","-20.0","","-25.8","","-22.9","","40.9","","0.0","","0.0","","0.2","","0.0","T","20","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-25","2020","01","25","","-14.8","","-22.1","","-18.5","","36.5","","0.0","","0.0","","3.6","","1.0","","20","","24","","68",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-26","2020","01","26","","-22.0","","-29.3","","-25.7","","43.7","","0.0","","0.0","","0.0","T","0.0","T","20","","23","","74",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-27","2020","01","27","","-18.9","","-27.0","","-23.0","","41.0","","0.0","","1.9","","6.2","","3.3","","20","","9","","45",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-28","2020","01","28","","-21.2","","-26.1","","-23.7","","41.7","","0.0","","0.0","","1.4","","0.2","","25","","26","","33",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-29","2020","01","29","","-22.0","","-29.1","","-25.6","","43.6","","0.0","","0.0","","2.0","","0.2","","23","","5","","39",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-30","2020","01","30","","-21.5","","-29.2","","-25.4","","43.4","","0.0","","0.0","","1.0","","0.0","T","25","","36","","41",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-01-31","2020","01","31","","-23.2","","-29.9","","-26.6","","44.6","","0.0","","0.0","","2.0","","0.0","T","22","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-01","2020","02","01","","-27.2","","-32.6","","-29.9","","47.9","","0.0","","0.0","","1.0","","0.0","T","17","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-02","2020","02","02","","-27.2","","-33.7","","-30.5","","48.5","","0.0","","0.0","","0.6","","0.0","T","18","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-03","2020","02","03","","-28.0","","-40.4","","-34.2","","52.2","","0.0","","0.0","","0.0","T","0.0","T","18","","24","","32",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-04","2020","02","04","","","M","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","18","","22","","33",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-05","2020","02","05","","-19.7","","-40.8","","-30.3","","48.3","","0.0","","0.0","","1.2","","0.2","","16","","21","","42",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-06","2020","02","06","","-20.3","","-28.4","","-24.4","","42.4","","0.0","","0.0","","1.2","","0.2","","18","","27","","39",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-07","2020","02","07","","-23.7","","-31.6","","-27.7","","45.7","","0.0","","0.0","","1.2","","0.0","T","17","","","","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-08","2020","02","08","","-27.9","","-34.6","","-31.3","","49.3","","0.0","","0.0","","0.0","T","0.0","T","17","","27","","41",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-09","2020","02","09","","-29.6","","-37.5","","-33.6","","51.6","","0.0","","0.0","","0.4","","0.0","T","17","","28","","35",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-10","2020","02","10","","-28.9","","-37.7","","-33.3","","51.3","","0.0","","0.0","","0.8","","0.0","T","17","","27","","33",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-11","2020","02","11","","-32.2","","-38.8","","-35.5","","53.5","","0.0","","0.0","","0.0","T","0.0","T","17","","23","","35",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-12","2020","02","12","","-31.0","","-35.6","","-33.3","","51.3","","0.0","","0.0","","0.0","T","0.0","T","17","","24","","37",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-13","2020","02","13","","-30.8","","-33.6","","-32.2","","50.2","","0.0","","0.0","","0.0","T","0.0","T","16","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-14","2020","02","14","","-30.2","","-36.7","","-33.5","","51.5","","0.0","","0.0","","0.0","T","0.0","T","15","","26","","33",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-15","2020","02","15","","-28.4","","-37.6","","-33.0","","51.0","","0.0","","0.0","","0.0","T","0.0","T","15","","25","","46",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-16","2020","02","16","","-24.0","","-29.8","","-26.9","","44.9","","0.0","","0.0","","0.0","T","0.0","T","15","","29","","58",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-17","2020","02","17","","-23.3","","-29.4","","-26.4","","44.4","","0.0","","0.0","","0.0","T","0.0","T","15","","32","","54",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-18","2020","02","18","","-20.9","","-28.5","","-24.7","","42.7","","0.0","","0.0","","0.0","","0.0","","15","","22","","59",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-19","2020","02","19","","-15.1","","-25.5","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","15","","8","","35",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-20","2020","02","20","","-15.0","","-27.9","","-21.5","","39.5","","0.0","","0.0","","0.0","T","0.0","T","15","","1","","39",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-21","2020","02","21","","-25.6","","-30.7","","-28.2","","46.2","","0.0","","0.0","","0.0","T","0.0","T","14","","9","","37",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-22","2020","02","22","","-26.9","","-33.1","","-30.0","","48.0","","0.0","","0.0","","0.0","T","0.0","T","15","","9","","32",""
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-23","2020","02","23","","-31.9","","-36.8","","-34.4","","52.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-24","2020","02","24","","-21.1","","-36.4","","-28.8","","46.8","","0.0","","0.0","","0.0","T","0.0","T","14","E","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-25","2020","02","25","","-20.8","","-30.2","","-25.5","","43.5","","0.0","","0.0","","1.0","","0.3","","14","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-26","2020","02","26","","-26.7","","-34.8","","-30.8","","48.8","","0.0","","0.0","","0.0","T","0.0","T","14","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-27","2020","02","27","","-27.0","","-36.2","","-31.6","","49.6","","0.0","","0.0","","2.2","","0.4","","14","E","","","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-28","2020","02","28","","","M","","M","","M","","M","","M","","M","","M","","M","16","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-02-29","2020","02","29","","-34.5","","-39.9","","-37.2","","55.2","","0.0","","0.0","","0.0","T","0.0","T","16","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-03-01","2020","03","01","","-33.2","","-42.5","","-37.9","","55.9","","0.0","","0.0","","0.0","T","0.0","T","16","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-03-02","2020","03","02","","-32.2","","-37.8","","-35.0","","53.0","","0.0","","0.0","","0.0","T","0.0","T","16","","","M","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-03-03","2020","03","03","","-31.7","","-39.7","","-35.7","","53.7","","0.0","","0.0","","0.6","","0.0","T","16","","","","","M"
"-115.14","67.82","KUGLUKTUK A","2300903","2020-03-04","2020","03","04","","-29.6","","-38.7","","-34.2","","52.2","","0.0","","0.0","","0.6","","0.0","T","16","","","M","","M"
