"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.14","67.82","KUGLUKTUK A","2300902","1995-01-01","1995","01","01","","-22.7","","-30.4","","-26.6","","44.6","","0.0","","0.0","","0.0","T","0.0","T","69","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","1995-01-02","1995","01","02","","-16.9","","-29.1","","-23.0","","41.0","","0.0","","0.0","","0.0","","0.0","","68","","21","","35",""
"-115.14","67.82","KUGLUKTUK A","2300902","1995-01-03","1995","01","03","","-6.9","","-17.4","","-12.2","","30.2","","0.0","","0.0","","0.0","T","0.0","T","68","","22","","50",""
"-115.14","67.82","KUGLUKTUK A","2300902","1995-01-04","1995","01","04","","-7.0","","-19.9","","-13.5","","31.5","","0.0","","0.0","","0.0","T","0.0","T","68","","26","","56",""
"-115.14","67.82","KUGLUKTUK A","2300902","1995-01-05","1995","01","05","","-19.7","","-29.8","","-24.8","","42.8","","0.0","","0.0","","0.0","T","0.0","T","68","","34","","39",""
"-115.14","67.82","KUGLUKTUK A","2300902","1995-01-06","1995","01","06","","-20.8","","-30.9","","-25.9","","43.9","","0.0","","0.0","","0.0","T","0.0","T","68","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","1995-01-07","1995","01","07","","-19.6","","-37.7","","-28.7","","46.7","","0.0","","0.0","","0.0","","0.0","","68","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","1995-01-08","1995","01","08","","-30.5","","-36.1","","-33.3","","51.3","","0.0","","0.0","","0.0","","0.0","","66","","24","","35",""
"-115.14","67.82","KUGLUKTUK A","2300902","1995-01-09","1995","01","09","","-29.8","","-37.6","","-33.7","","51.7","","0.0","","0.0","","0.4","","0.4","","65","","","","<31",""
"-115.14","67.82","KUGLUKTUK A","2300902","1995-01-10","1995","01","10","","-36.2","","-41.2","","-38.7","","56.7","","0.0","","0.0","","0.0","T","0.0","T","65","","","","<31",""
